segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,2,10:00-16:00,1,18.0,19.0,13.4,7.3,11.62,8.19,1.0,599,9.44,5,7,9,11,13,14,16,17,18,19,19,20,21,22,23,24,25,26,30
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,3,5:00-9:00,1,22.3,22.0,18.5,8.5,8.42,7.07,0.72,102,4.84,9,12,13,15,17,18,20,21,21,22,23,23,25,26,26,29,30,32,39
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,4,16:00-21:00,1,17.7,18.0,12.7,8.4,12.28,8.64,1.06,597,10.32,5,7,8,10,12,14,15,16,17,18,19,20,21,21,22,24,25,27,30
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,5,22:00-24:00,1,19.7,19.0,15.2,9.0,10.22,8.19,0.88,218,8.34,8,10,11,13,14,15,16,17,18,19,20,21,22,23,24,24,27,30,36
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,6,0:00-4:00,1,23.2,23.0,17.1,11.7,9.12,6.76,0.79,210,8.3,9,11,12,14,15,17,19,20,22,23,23,24,26,27,29,30,32,35,41
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,2,10:00-16:00,1,21.3,20.0,14.8,9.6,5.91,4.37,1.0,78,7.56,6,11,14,15,16,17,17,18,19,20,21,23,23,24,25,26,30,33,38
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,3,5:00-9:00,1,22.3,23.0,21.2,5.0,4.12,3.8,0.7,9,1.04,14,14,18,18,18,18,21,21,23,23,23,25,25,25,25,27,27,30,30
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,4,16:00-21:00,1,19.8,19.0,12.5,9.1,7.01,4.6,1.19,97,11.1,4,9,12,13,15,16,17,17,18,19,20,21,22,23,24,25,26,33,39
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,5,22:00-24:00,1,21.0,22.0,13.9,9.7,6.29,3.97,1.07,39,7.73,5,7,13,14,16,16,17,18,20,22,22,24,26,26,27,28,29,30,31
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,6,0:00-4:00,1,23.0,24.0,5.2,14.0,16.78,3.64,2.84,21,47.0,3,3,10,11,17,19,19,20,23,24,24,24,24,25,26,30,36,42,46
-15040005524537,-00004d41-3200-0400-0000-0000004c531a,60,3,46.56,33.56522,-7.66785,2,10:00-16:00,1,21.4,19.0,9.5,15.6,17.66,8.82,1.0,3121,19.3,3,3,4,6,8,11,14,16,18,19,21,22,24,27,30,34,39,46,51
-15040005524537,-00004d41-3200-0400-0000-0000004c531a,60,3,46.56,33.56522,-7.66785,3,5:00-9:00,1,31.7,28.0,12.3,22.1,13.66,5.99,0.77,503,18.35,3,4,6,10,13,17,20,22,25,28,32,37,41,44,48,52,55,60,72
-15040005524537,-00004d41-3200-0400-0000-0000004c531a,60,3,46.56,33.56522,-7.66785,4,16:00-21:00,1,21.4,20.0,9.8,14.9,17.05,8.38,0.97,3746,19.13,3,3,5,7,10,12,15,16,18,20,21,23,24,26,29,33,38,43,50
-15040005524537,-00004d41-3200-0400-0000-0000004c531a,60,3,46.56,33.56522,-7.66785,5,22:00-24:00,1,23.2,21.0,10.4,16.2,16.12,7.98,0.91,1499,18.64,3,4,5,7,9,12,15,17,19,21,23,25,28,31,34,37,42,46,53
