segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040002514826,-00004d41-3200-0400-0000-0000004c4d11,60,4,43.2,33.5614,-7.66965,4,16:00-21:00,1,17.7,18.0,12.7,8.4,12.28,8.64,1.06,597,10.32,5,7,8,10,12,14,15,16,17,18,19,20,21,21,22,24,25,27,30
-15040001884050,-00004d41-3200-0400-0000-0000004c4ed4,60,7,24.29,33.56148,-7.66993,4,16:00-21:00,1,19.8,19.0,12.5,9.1,7.01,4.6,1.19,97,11.1,4,9,12,13,15,16,17,17,18,19,20,21,22,23,24,25,26,33,39
-15040005524537,-00004d41-3200-0400-0000-0000004c531a,60,3,46.56,33.56522,-7.66785,4,16:00-21:00,1,21.4,20.0,9.8,14.9,17.05,8.38,0.97,3746,19.13,3,3,5,7,10,12,15,16,18,20,21,23,24,26,29,33,38,43,50
-15040001873374,-00004d41-3200-0400-0000-0000004c531b,60,3,239.64,33.5648,-7.66792,4,16:00-21:00,1,29.8,30.0,23.7,12.4,36.47,28.76,1.05,3662,22.91,12,14,16,18,19,21,23,25,28,30,31,33,35,37,39,41,43,46,50
-15040001877588,-00004d41-3200-0400-0000-0000004c531d,60,3,27.05,33.56267,-7.66829,4,16:00-21:00,1,22.3,21.0,14.1,11.5,6.9,4.64,1.05,3864,7.44,4,7,10,13,15,16,16,18,20,21,23,24,26,28,30,32,35,38,42
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,4,16:00-21:00,1,28.4,30.0,23.5,9.1,6.7,5.25,1.19,10101,5.31,12,16,18,20,22,24,26,27,28,30,31,32,33,34,35,36,37,39,41
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,4,16:00-21:00,1,29.7,31.0,24.1,9.1,6.11,4.75,1.13,10127,8.35,14,17,20,22,24,26,27,29,30,31,32,33,34,35,36,37,39,40,43
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,4,16:00-21:00,1,29.5,30.0,25.4,9.0,5.87,4.96,1.08,10144,4.38,14,17,19,21,23,25,26,28,29,30,31,32,33,35,36,37,38,40,43
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,4,16:00-21:00,1,29.6,30.0,25.8,9.0,5.77,4.96,1.07,10144,3.46,14,17,20,22,23,25,27,28,29,30,32,33,34,35,36,37,38,40,43
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,4,16:00-21:00,1,29.2,30.0,25.5,8.7,5.47,4.64,1.06,10167,3.58,14,18,20,22,23,25,26,28,29,30,31,32,33,34,35,36,38,40,43
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,4,16:00-21:00,1,26.5,26.0,22.1,9.2,7.43,6.3,1.11,10116,6.34,12,15,17,19,20,21,23,24,25,26,28,29,30,31,33,34,36,38,42
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,4,16:00-21:00,1,24.3,24.0,19.5,8.7,10.27,8.32,1.1,10255,10.68,11,13,15,17,19,20,21,22,23,24,25,26,28,29,30,31,33,35,39
-15040004756282,-00004d41-3200-0400-0000-0000004c5898,60,6,43.86,33.56792,-7.67717,4,16:00-21:00,1,24.0,24.0,19.8,9.3,7.99,6.58,1.13,2014,5.75,10,13,15,17,18,20,21,22,23,24,25,26,26,28,29,30,31,34,40
-15040002523745,-00004d41-3200-0400-0000-0000004c58a1,60,7,15.38,33.56504,-7.67302,4,16:00-21:00,1,16.6,17.0,14.1,5.5,3.94,3.26,0.94,40,2.18,6,8,12,13,13,14,15,15,16,17,17,18,18,18,19,20,21,23,26
-15040004756287,-00004d41-3200-0400-0000-0000004c58a8,60,6,59.19,33.56775,-7.67759,4,16:00-21:00,1,30.3,31.0,26.1,9.6,8.18,6.87,1.12,1996,4.47,13,17,20,22,24,26,27,29,30,31,32,33,34,35,37,38,39,41,45
-15040002523739,-00004d41-3200-0400-0000-0000004c58a9,60,6,61.39,33.56752,-7.67817,4,16:00-21:00,1,28.9,28.0,24.2,9.8,9.12,7.89,1.16,2008,6.28,13,16,19,21,23,24,25,26,27,28,30,32,33,34,36,37,39,41,44
-15040002577868,-00004d41-3200-0400-0000-0000004c599f,60,3,199.7,33.56701,-7.66761,4,16:00-21:00,1,31.5,31.0,23.6,14.7,30.51,23.19,1.1,3233,20.29,11,13,15,17,18,20,22,25,28,31,34,37,39,42,43,46,48,51,55
-15040004756379,-00004d41-3200-0400-0000-0000004c59e8,60,5,77.35,33.54897,-7.68481,4,16:00-21:00,1,24.6,25.0,20.6,7.7,13.55,11.14,1.04,1372,11.58,12,16,17,19,20,21,22,23,24,25,26,27,27,28,29,30,31,33,36
-15040002604518,-00004d41-3200-0400-0000-0000004ca3cf,60,4,31.35,33.56065,-7.67233,4,16:00-21:00,1,32.9,34.0,28.8,9.2,3.92,3.32,1.03,5622,2.89,17,20,23,25,28,29,30,32,33,34,35,36,37,38,39,40,41,43,47
-15040005060406,-00004d41-3200-0400-0000-0000004ca3d0,60,4,25.04,33.56071,-7.67207,4,16:00-21:00,1,33.6,35.0,29.4,9.3,3.07,2.58,1.03,5641,2.58,17,20,23,26,28,30,31,33,34,35,36,36,37,38,39,41,42,44,47
-15040002570606,-00004d41-3200-0400-0000-0000004ca3d1,60,4,29.05,33.5608,-7.67178,4,16:00-21:00,1,33.3,34.0,29.0,9.2,3.61,3.08,1.07,5613,4.51,17,20,23,26,28,30,31,32,33,34,35,36,37,38,39,40,42,44,47
-15040002561298,-00004d41-3200-0400-0000-0000004ca3d2,60,4,25.41,33.56088,-7.67152,4,16:00-21:00,1,33.1,34.0,29.1,9.0,3.14,2.69,1.06,5627,3.46,17,20,23,26,28,30,31,32,33,34,35,36,37,38,39,40,41,43,46
-15040001918370,-00004d41-3200-0400-0000-0000004ca3d3,60,4,28.21,33.56105,-7.67096,4,16:00-21:00,1,31.6,32.0,27.3,9.0,3.72,3.17,1.06,5577,3.65,16,20,22,24,26,28,29,30,31,32,33,34,35,36,37,39,40,42,45
-15040001921828,-00004d41-3200-0400-0000-0000004ca3d4,60,4,27.06,33.56115,-7.6707,4,16:00-21:00,1,30.9,32.0,26.9,9.1,3.63,3.04,1.04,5569,2.43,15,19,21,23,25,27,28,29,30,32,33,34,35,36,37,38,39,42,45
-15040004281954,-00004d41-3200-0400-0000-0000004ca3da,60,4,75.56,33.55766,-7.68097,4,16:00-21:00,1,22.1,21.0,13.6,12.8,20.06,12.95,1.03,3871,19.1,5,7,8,9,11,13,15,17,19,21,23,25,27,29,31,33,36,40,45
-15040002550795,-00004d41-3200-0400-0000-0000004ca689,60,7,28.62,33.57195,-7.67441,4,16:00-21:00,1,7.3,5.7,4.2,4.8,24.34,18.08,1.6,38,24.99,2,2,2,3,4,4,5,5,6,6,7,7,8,9,11,12,13,14,16
-15040002584577,-00004d41-3200-0400-0000-0000004cd21a,60,6,115.82,33.55111,-7.6792,4,16:00-21:00,1,20.4,18.0,15.2,10.7,27.38,23.16,0.99,3252,16.4,8,9,9,10,11,12,14,15,17,18,20,21,23,25,27,30,33,37,41
