TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2221,-204387,272,0.0029364136888696967,-203726,-203726
-2221,-205325,720,0.00777285976465508,--205626,--205626
-2221,-206657,1713,0.018492928856741878,-203270#1,-203270#1
-2221,-205341,233,0.00251538378495088,-206403#1,-206403#1
-2221,-206494,900,0.00971607470581885,--202915#1,--202915#1
-2221,-205995,488,0.00526827161826622,-204868,-204868
-2221,-204396,221,0.0023858361222066286,-204391#11,-204391#11
-2221,-204901,356,0.0038432473280794557,--205894,--205894
-2221,-206467,381,0.00411313829212998,-205628#12,-205628#12
-2221,-206475,339,0.0036597214725250997,-203033,-203033
-2221,-205634,747,0.008064342005829644,-206729#1,-206729#1
-2221,-205924,673,0.007265464752240095,-204275,-204275
-2221,-206342,344,0.0037136996653352045,--203050,--203050
-2221,-205211,359,0.003875634243765519,-204578#0,-204578#0
-2221,-206537,794,0.00857173701824463,--205522,--205522
-2221,-206672,45,0.0004858037352909425,-206320#0,-206320#0
-2221,-205516,50,0.0005397819281010472,--206302#4,--206302#4
-2221,-205018,56,0.0006045557594731728,--203793#5,--203793#5
-2221,-206000,168,0.0018136672784195185,-206403#3,-206403#3
-2221,-204615,714,0.0077080859332829535,--207034,--207034
-2221,-203674,265,0.0028608442189355502,--205625#0,--205625#0
-2221,-205900,291,0.0031415308215480948,--206403#2,--206403#2
-2221,-206284,176,0.001900032386915686,-206403#4,-206403#4
-2221,-205468,275,0.0029688006045557594,-204337,-204337
-2221,-206350,1149,0.012404188707762064,-203793#2,-206130
-2221,-207098,502,0.005419410558134514,-203163#0,--204565#0
-2221,-205508,291,0.0031415308215480948,-205604#0,-205604#0
-2221,-205759,731,0.00789161178883731,-202915#9,-202915#9
-2221,-204771,832,0.008981971283601425,-205255#0,-205255#0
-2221,-206773,254,0.0027420921947533196,-206990#0,-206990#0
-2221,-203316,260,0.0028068660261254454,--206785#1,--206785#1
-2221,-204165,1028,0.01109791644175753,-205982#2,-205982#2
-2221,-205559,28,0.0003022778797365864,--206548,--206548
-2221,-205923,968,0.010450178128036273,-203754#1,-203754#1
-2221,-204230,1158,0.012501349454820253,-205145#2,-205145#2
-2221,-204909,510,0.005505775666630681,-203726,-203726
-2221,-205493,518,0.005592140775126849,-205436,-205436
-2221,-206766,160,0.001727302169923351,--204978,--204978
-2221,-203540,334,0.0036057432797149953,-204408#0,-204408#0
-2221,-206222,1217,0.013138292129979488,-203163#0,-204565#0
-2221,-203888,234,0.002526179423512901,--205950#1,--205950#1
-2221,-205313,211,0.002277879736586419,-206202#2,-206202#2
-2221,-203065,284,0.003065961351613948,-206886,-206886
-2221,-205674,475,0.005127928316959948,-205604#0,-205604#0
-2221,-207010,293,0.0031631220986721364,--206412#1,--206412#1
-2221,-203835,584,0.006304652920220231,--203600#0,--203600#0
-2221,-204322,927,0.010007556946993415,--205717#2,--205717#2
-2221,-206708,715,0.0077188815718449745,--206230,--206230
-2221,-205339,282,0.0030443700744899062,-205982#13,-205982#13
-2221,-206625,311,0.0033574435927885135,--204401#0,--204401#0
-2221,-203490,478,0.005160315232646011,-206320#3,-206320#3
-2221,-206638,352,0.003800064773831372,-205522,-205522
-2221,-206570,798,0.008614919572492713,--204662#0,--204662#0
-2221,-203851,390,0.004210299039188168,-206838#1,-206838#1
-2221,-203414,490,0.005289862895390262,-206274#0,-206274#0
-2221,-205946,1216,0.013127496491417468,--203707#2,--203707#2
-2221,-205954,281,0.003033574435927885,--207046#1,-204021#1
-2221,-204314,1551,0.016744035409694484,-203377#2,-203377#2
-2221,-206735,1432,0.015459354420813991,--205604#0,--205604#0
-2221,-205294,1399,0.0151030983482673,--203270#1,--203270#1
-2221,-207001,594,0.00641260930584044,-203517#1,-203517#1
-2221,-205387,273,0.0029472093274317177,-203091,-203091
-2221,-204685,544,0.005872827377739393,-206379#1,--203433
-2221,-206841,285,0.003076756990175969,--204208,--204208
-2221,-204599,64,0.0006909208679693404,-205194#3,-205194#3
-2221,-205833,292,0.0031523264601101154,-206241#1,-206241#1
-2221,-204770,345,0.0037244953038972255,--206124#0,--206124#0
-2221,-203767,60,0.0006477383137212566,--205776,--205776
-2221,-203948,474,0.005117132678397927,--203812#1,--203812#1
-2221,-206796,605,0.006531361330022671,--206533#0,--206533#0
-2221,-205552,793,0.008560941379682609,-204186#1,-206981#1
-2221,-203158,289,0.0031199395444240527,-204158#0,-204158#0
-2221,-203070,356,0.0038432473280794557,--205628#12,--205628#12
-2221,-204853,356,0.0038432473280794557,--204936#2,--204936#2
-2221,-204456,263,0.002839252941811508,-206533#3,-206533#3
-2221,-205050,77,0.0008312641692756127,-205061,-205061
-2221,-203731,338,0.003648925833963079,--205305#0,--205305#0
-2221,-205034,64,0.0006909208679693404,--204133#0,--204133#0
-2221,-205080,666,0.0071898952823059485,--203091,--203091
-2221,-205504,881,0.00951095757314045,--207046#6,--207046#6
-2221,-206950,9612,0.10376767785814531,-207323#4,-207323#4
-2221,-203679,744,0.008031955090143582,-206798#2,-206798#2
-2221,-205803,284,0.003065961351613948,--203601,--203601
-2221,-204502,244,0.00263413580913311,-205983#1,-205983#1
-2221,-206902,332,0.0035841520025909532,--205717#9,--205717#9
-2221,-203903,686,0.007405808053546368,-206798#1,-206798#1
-2221,-203892,35,0.000377847349670733,-203793#3,-203793#3
-2221,-205706,93,0.0010039943862679478,-204391#3,-204391#3
-2221,-204011,262,0.002828457303249487,--203899,--203899
-2221,-205940,741,0.00799956817445752,-204662#0,-204662#0
-2221,-206542,100,0.0010795638562020944,--206682#1,--205081
-2221,-204804,423,0.004566555111734859,-205255#0,-205255#0
-2221,-204359,40,0.00043182554248083775,--204290,--204290
-2221,-205068,872,0.009413796826082262,--205223#2,--205223#2
-2221,-204864,318,0.00343301306272266,-206533#1,-206533#1
-2221,-205968,454,0.004901219907157508,-205123,-205123
-2221,-206266,105,0.001133542049012199,--204978,--204978
-2221,-207099,73,0.0007880816150275288,-206700#0,-206700#0
-2221,-203008,733,0.007913203065961352,--206651#0,--206651#0
-2221,-205301,117,0.0012630897117564504,--206969#0,--206969#0
-2221,-204757,323,0.0034869912555327647,-204194#10,-205101
-2221,-203643,271,0.0029256180503076756,--206643#1,--206643#1
-2221,-204917,2724,0.02940731944294505,--205196#0,--205196#0
-2221,-202923,155,0.0016733239771132462,-206202#2,-206202#2
-2221,-204056,392,0.00423189031631221,--202943,--202943
-2221,-206265,194,0.002094353881032063,--204262,--204262
-2221,-203671,806,0.00870128468098888,-203122#0,-203122#0
-2221,-204778,420,0.004534168196048796,--205894,--205894
-2221,-203417,315,0.003400626147036597,-204676#0,-204676#0
-2221,-206458,913,0.009856418007125122,-204408#3,-204408#3
-2221,-206360,234,0.002526179423512901,-205983#1,-205983#1
-2221,-203088,1614,0.017424160639101804,-206588#1,-204565#1
-2221,-204559,430,0.004642124581669006,-204212,-204212
-2221,-206768,147,0.0015869588686170787,-204760#2,-204501
-2221,-205129,264,0.002850048580373529,-204234#1,-204234#1
-2221,-206269,499,0.005387023642448451,-204970#1,-204970#1
-2221,-206483,725,0.007826837957465183,--203093,--203093
-2221,-205990,1431,0.015448558782251971,-203377#0,-203377#0
-2221,-204925,276,0.0029795962431177804,-203163#2,-203163#2
-2221,-204948,734,0.007923998704523372,-205292#1,-205292#1
-2221,-205732,78,0.0008420598078376336,-205637#3,-205637#3
-2221,-207114,633,0.0068336392097592576,-203069,-203069
-2221,-204013,267,0.002882435496059592,--203600#1,--203600#1
-2221,-205181,937,0.010115513332613624,-206124#1,-206124#1
-2221,-205281,354,0.003821656050955414,-205894,-205894
-2221,-204131,289,0.0031199395444240527,--205273,--205273
-2221,-206321,588,0.006347835474468315,--206124#1,--206124#1
-2221,-205985,273,0.0029472093274317177,--206990#1,--206990#1
-2221,-205021,30,0.0003238691568606283,-203793#5,-203793#5
-2221,-207159,437,0.004717694051603152,-203446#0,-203446#0
-2221,-204666,6632,0.07159667494332289,-203726,-203726
-2221,-205596,324,0.0034977868940947857,--205717#9,--205717#9
-2221,-206056,78,0.0008420598078376336,-205637#3,-205637#3
-2221,-206414,309,0.0033358523156644714,--205983#1,--205983#1
-2221,-206109,259,0.0027960703875634244,-206886,-206886
-2221,-205587,261,0.0028176616646874665,-206202#1,-206202#1
-2221,-206987,58,0.0006261470365972147,--203338#4,--203338#4
-2221,-207200,145,0.0015653675914930369,-204262,-204262
-2221,-204524,164,0.0017704847241714347,--206588#1,-206060
-2221,-203279,247,0.002666522724819173,--206753#3,--206753#3
-2221,-203752,44,0.0004750080967289215,--206852#0,--206852#0
-2221,-203452,426,0.004598942027420922,--203959#2,--203959#2
-2221,-203874,313,0.003379034869912555,-205671#0,-205671#0
-2221,-203257,304,0.003281874122854367,-206228,-206228
-2221,-203223,577,0.006229083450286084,-206379#0,-203433
-2221,-203762,283,0.003055165713051927,--205123,--205123
-2221,-203075,31,0.0003346647954226493,--203793#0,--203793#0
-2221,-206611,966,0.010428586850912231,-205052#1,-205052#1
-2221,-204022,330,0.0035625607254669116,-205637#0,-204616
-2221,-204110,113,0.0012199071575083667,--205088#0,--205088#0
-2221,-204905,406,0.004383029256180503,--205628#12,--205628#12
-2221,-204902,448,0.004836446075785383,--203722#2,--203722#2
-2221,-205299,3973,0.04289107200690921,--203163#1,-203708
-2221,-202982,97,0.0010471769405160315,-206202#1,-206202#1
-2221,-206555,1979,0.021364568714239446,-203377#0,-203377#0
